sk	M	a	lng	mx
1116	1000	1.07535855046032	103	-5.24271083158849
1118	1000	1.02207634968174	54	-7.6656654378915
1122	100	1.15886879604417	156	-0.507380499796467
1124	10	1.09293425775742	111	-4.58466037884882
1127	100	1.03028258402171	55	-7.41737742988402
1128	100	1.07125919747255	87	-5.80672663256008
1129	100	1.11864452301817	125	-3.53717790184958
1130	1	1.11356721059876	120	-3.87813814024268
1133	10	1.06669370988203	77	-6.20287828755875
1134	10	1.10053646580875	105	-4.81688787766507
1137	100	1.15798052338966	137	-2.08506834291326
1140	100	1.06767225671095	69	-6.46883118293835
1141	10	1.04405842122157	50	-7.24062759160549
1142	1	1.07242125845684	70	-6.38962364664578
1143	1000	1.05876675557912	58	-6.86616988278416
1144	10	1.0870732864791	80	-5.99018173380593
1145	1000	1.01907065548347	28	-7.85048674232086
1146	10	1.1080610315126	95	-5.34583553561606
1149	1000	1.08312111655408	70	-6.40707623032147
1151	100	1.04613229692544	40	-7.44146525795012
1152	10	1.06378789294815	51	-7.0687166739343
1153	1	1.01353829894027	16	-7.96325839894105
1154	100	1.12138605962557	96	-5.40022074718869
1156	1	1.05406264742429	40	-7.40393573816586
1159	100	1.21377878483703	143	-0.593921799151267
1160	1	1.11290611733085	84	-6.04643100091986
1161	100	1.02644091586956	19	-7.88629368517664
1162	10	1.06349088889104	41	-7.36390262231922
1164	1000	1.069412171538	45	-7.29492396008008
1165	1000	1.03366966706196	20	-7.84519844936086
1167	10	1.14302417279208	98	-4.94123314152171
1175	100	1.03967908864215	22	-7.83728064915022
1177	1000	1.02696174452305	14	-7.93670027971286
1183	100	1.12628039190515	92	-4.82249317306028
1186	10	1.11885814654495	89	-4.9613194470261
1187	10	1.10331118963856	81	-5.65784336467485
1188	100	1.05166265008741	51	-7.45545332781006
1189	1000	1.14968777416073	108	-3.27363214362913
1191	1	1.06900027640736	64	-6.82362779930902
1192	100	1.03238043564223	34	-7.78641613859439
1195	10	1.08653029612741	71	-6.08321788047489
1196	10	1.12246414556174	90	-4.52619561619268
1199	100	1.08983951401831	70	-5.94562343125125
1200	10	1.05918199166065	55	-7.01932741727454
1202	10	1.03389504671687	39	-7.67154719787557
1203	1000	1.01755934593699	21	-7.93990081301334
1204	100	1.09449443044022	69	-5.82684563647494
1205	10	1.07574140697015	59	-6.53137322879678
1208	100	1.07795729637427	57	-6.5215445378651
1211	1000	1.23738223971894	156	-0.339448858766324
1213	10	1.18856808046763	117	-2.75758221222781
1215	1000	1.05182825267023	40	-7.35268166395405
1217	1	1.12289514618927	72	-5.45777962265805
1218	100	1.0029131375192	2	-8.02534583860644
1220	10	1.00261941550875	2	-8.02459309012434
1221	1	1.2285139291498	139	-1.87910430678197
1223	10	1.02618139771845	21	-7.86605286290068
1224	1000	1.08922989098231	47	-6.73749731786146
1226	1	1.14886065633209	80	-5.3287461124813
1227	10	1.17058597673537	93	-4.74108905056997
1228	10	1.03174599062762	20	-7.8372357923331
1229	1000	1.17499295291599	94	-4.76270405778866
1230	1	1.0419242751109	23	-7.73398785727841
